protein,kidneyTisue1,kidneyTisue2,kidneyTisue3,kidneyTisue4,kidneyTisue5,kidneyTisue6,kidneyTisue11,kidneyTisue12,kidneyTisue13,kidneyTisue14,kidneyTisue15,kidneyTisue16,kidneyTisue19,kidneyTisue20,kidneyTisue21,kidneyTisue22,kidneyTisue23,kidneyTisue24,kidneyTisue29,kidneyTisue30,kidneyTisue31,kidneyTisue32,kidneyTisue33,kidneyTisue34
P35270,0.47063133,0.995200608,0.587783245,1.167388523,0.746709502,0.558242735,0.960880911,0.801933518,0.928783153,0.829856613,0.644033685,0.342473616,0.47063133,1.032060587,0.616996063,1.120129404,0.678762599,0.39936486,0.865865379,1.19073084,0.89426352,1.085074841,0.715777566,0.522520214
Q96HS1,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,1.167388523,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,1.120129404,0.715777566,0.715777566,0.715777566,1.19073084,0.715777566
Q86WA6,1.032060587,0.57301299,0.801933518,0.57301299,1.167388523,0.57301299,0.995200608,0.57301299,0.865865379,0.57301299,0.960880911,0.57301299,1.085074841,0.57301299,0.829856613,0.57301299,1.19073084,0.57301299,1.120129404,0.57301299,0.89426352,0.57301299,0.928783153,0.57301299
Q9BXK5,0.97804076,0.39936486,0.486017939,0.678762599,1.032060587,0.602389654,1.167388523,0.342473616,0.89426352,0.746709502,0.829856613,0.644033685,0.97804076,0.602389654,0.715777566,0.801933518,1.120129404,0.558242735,1.19073084,0.455244722,0.928783153,0.865865379,1.085074841,0.522520214
O00330,0.644033685,0.644033685,0.644033685,0.644033685,1.085074841,0.644033685,0.644033685,0.644033685,0.644033685,1.120129404,0.960880911,0.644033685,0.644033685,0.644033685,0.644033685,0.644033685,1.032060587,1.19073084,0.995200608,0.644033685,0.644033685,0.644033685,1.167388523,0.644033685
P50395,0.678762599,0.644033685,0.47063133,1.120129404,0.558242735,1.085074841,0.39936486,0.865865379,0.801933518,0.829856613,0.522520214,0.995200608,0.715777566,0.746709502,0.616996063,1.032060587,0.342473616,1.179059682,0.587783245,0.928783153,0.960880911,0.89426352,0.47063133,1.179059682
P61009,0.697270083,0.697270083,0.697270083,1.167388523,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.120129404,0.697270083,0.697270083,0.697270083,1.19073084,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.085074841
Q9BRG1,0.944832032,0.602389654,0.602389654,0.602389654,0.602389654,1.167388523,0.865865379,1.19073084,0.602389654,0.602389654,0.944832032,0.602389654,1.085074841,0.602389654,0.602389654,0.602389654,0.995200608,0.602389654,0.89426352,1.120129404,0.602389654,0.602389654,1.032060587,0.602389654
Q15848,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,1.120129404,0.715777566,0.715777566,0.715777566,1.19073084,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,1.167388523,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566,0.715777566
P78344,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.167388523,0.697270083,1.120129404,0.697270083,0.697270083,0.697270083,1.085074841,0.697270083,1.19073084,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083
P82664,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,0.746709502,1.19073084,0.746709502
Q9BXP5,0.644033685,0.644033685,0.644033685,1.032060587,0.644033685,0.644033685,0.960880911,0.644033685,0.644033685,0.644033685,0.995200608,1.085074841,0.644033685,0.644033685,0.644033685,1.167388523,0.644033685,0.644033685,0.644033685,1.120129404,0.644033685,0.644033685,0.644033685,1.19073084
P61026,0.558242735,0.455244722,0.847860996,1.167388523,0.678762599,0.455244722,0.928783153,0.995200608,0.801933518,1.120129404,0.89426352,1.032060587,0.587783245,1.085074841,0.847860996,1.19073084,0.715777566,0.455244722,0.960880911,0.616996063,0.746709502,0.455244722,0.455244722,0.644033685
P07108,1.085074841,0.455244722,1.167388523,0.644033685,0.746709502,0.865865379,1.19073084,0.678762599,0.995200608,0.715777566,1.032060587,0.558242735,0.960880911,0.522520214,1.120129404,0.616996063,0.801933518,0.587783245,0.829856613,0.342473616,0.928783153,0.39936486,0.89426352,0.486017939
Q96JB5,0.678762599,0.678762599,1.167388523,1.19073084,0.678762599,0.678762599,1.085074841,0.678762599,1.032060587,0.678762599,1.120129404,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599,0.678762599
Q8NCN5,1.19073084,0.522520214,0.522520214,0.522520214,0.928783153,0.522520214,0.746709502,1.085074841,0.865865379,0.522520214,0.960880911,0.715777566,0.522520214,0.522520214,0.678762599,0.522520214,1.032060587,0.522520214,0.829856613,1.120129404,0.995200608,1.167388523,0.801933518,0.89426352
P42766,0.697270083,0.697270083,0.697270083,1.19073084,0.697270083,1.120129404,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,1.167388523,0.697270083,1.085074841,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083,0.697270083
P99999,0.829856613,0.731243534,1.179059682,0.587783245,0.89426352,0.522520214,0.960880911,0.455244722,0.865865379,0.370919238,1.120129404,0.678762599,0.801933518,0.731243534,0.928783153,0.616996063,1.179059682,0.558242735,0.995200608,0.486017939,1.032060587,0.370919238,1.085074841,0.644033685
P55735,0.801933518,0.558242735,0.960880911,1.19073084,0.558242735,0.558242735,0.865865379,0.558242735,0.928783153,0.558242735,0.746709502,1.032060587,0.89426352,0.558242735,1.085074841,1.167388523,0.558242735,0.558242735,0.995200608,0.558242735,0.829856613,0.558242735,0.558242735,1.120129404
Q8TBA6,0.602389654,0.602389654,1.120129404,0.602389654,0.602389654,1.19073084,1.032060587,0.960880911,0.602389654,0.602389654,0.602389654,0.928783153,0.602389654,0.602389654,1.085074841,0.602389654,0.602389654,1.167388523,0.995200608,0.89426352,0.602389654,0.865865379,0.602389654,0.602389654
P07942,0.455244722,1.032060587,0.865865379,0.928783153,0.587783245,0.995200608,0.39936486,0.616996063,0.644033685,0.801933518,0.342473616,1.19073084,0.486017939,1.085074841,0.829856613,0.89426352,0.715777566,1.120129404,0.558242735,0.746709502,0.678762599,0.960880911,0.522520214,1.167388523
Q05519,0.829856613,0.57301299,0.57301299,1.120129404,0.57301299,0.995200608,0.57301299,0.960880911,0.57301299,1.167388523,0.801933518,1.085074841,0.89426352,0.57301299,0.57301299,1.19073084,0.57301299,0.57301299,0.928783153,0.57301299,0.57301299,0.57301299,0.865865379,1.032060587
Q9H3P7,0.504269076,1.085074841,0.715777566,1.167388523,0.801933518,0.928783153,0.504269076,0.865865379,0.644033685,0.995200608,0.678762599,0.89426352,0.504269076,1.120129404,0.829856613,1.19073084,0.504269076,1.032060587,0.504269076,0.504269076,0.746709502,0.504269076,0.504269076,0.960880911
