Celline, MCF7, T47D, ZR751, AU565, BT474, SkBr3, BT20, HCC1143, HCC1806, HCC1937, HCC70, MB468, BT549, HCC1395, Hs578t, MB157, MB231, MB436
A0A087X266,0.219518619,1.021976659,-0.123651292,0.451566982,0.163890869,0.282439761,-0.083223296,-1.414420875,-0.242066065,-0.868750663,-0.450003597,-0.153857939,-0.307371994,1.018271234,0.083223296,1.036083347,-0.173780787,0.188010566
Q9Y6X5,0.563910565,0.007444392,0.052921196,-1.386029805,-0.134616688,-0.737054549,-1.486549679,0.591423652,-1.22800914,0.362623676,0.457929576,0.681021387,-0.007444392,-1.511683845,-1.605533743,-1.255134893,0.012357687,0.113559019
P31431,0.122189956,-0.007165942,0.502328865,-0.561555723,-0.270937866,-0.029695557,-0.175311901,0.007165942,-0.888453798,0.70511397,1.265253267,-0.385791142,2.272642214,1.314117096,-0.064049666,-0.393483821,1.121815755,0.826577683
Q2NKJ3,0.287963204,0.408098244,-0.080553759,0.379665965,-0.044228384,0.260375223,-0.082015153,0.271707823,0.426490608,0.053650416,-0.22336803,-0.517763453,-0.388127478,-0.143107077,-0.45138031,-0.174972579,0.266119629,0.044228384
Q8NBJ9,0.211209751,1.126021241,-0.084758338,1.208718772,0.04751367,0.83728026,-0.038462643,-0.421579627,-0.272493587,-0.014762692,-0.3840292,-0.137824795,0.014762692,-0.249883769,0.66098726,1.134231119,0.068817884,-0.702135816
Q13829,-0.308717878,-0.08879543,-0.148364642,-0.196226151,-0.087139219,0.283286611,-0.044782559,-0.182696869,-0.222372618,0.050257953,0.044782559,0.104097232,0.363853462,0.385234583,0.085797746,-0.363513321,0.224450422,0.340336772
O96020,0.248750971,0.2622875,0.225687729,-0.767836259,0.606729154,-0.643632413,-0.433923107,0.760702541,-0.560793169,0.063440727,0.65898127,0.478834316,0.311682907,-0.218663388,-0.219632726,-0.542881268,-0.063440727,-0.287397538
O15117-3,-0.147571305,0.047426302,-0.021097877,-0.387889894,-0.165886954,-0.399036141,0.027989421,0.244761594,2.899222004,0.509870172,3.414980104,-0.113496083,0.218658431,0.306260783,0.021097877,-0.352049084,-0.318792828,-0.116011184
P14543,-0.201607281,-0.046054818,-0.294446227,-0.059424354,-0.166719253,0.046054818,0.147953297,-0.388973844,0.961424256,0.067208815,-0.910615693,-0.238869039,0.699644393,0.996991172,0.939268144,2.413829758,-0.105827392,1.096510945
Q99676,0.395724978,-0.345429048,0.40732717,-0.26188081,0.510491752,-0.319415812,-0.651894456,-0.2356608,0.351075698,-0.250869097,-0.05296306,0.05296306,0.070461956,0.372622964,-0.740788725,0.313496692,0.082386213,-0.387793448
Q96NT0,0.40961125,0.503095446,0.244290691,0.247082786,0.20629434,0.033293077,-0.460583265,0.159987135,-0.170453258,0.045608259,0.672252301,-0.033293077,-0.471081727,-0.086827801,-0.261778673,-0.242280301,-0.186381968,-0.083713111
Q86XN6,0.485303766,-0.030603686,-0.301324289,0.400582011,0.742520806,0.368716359,0.010322608,-0.50396305,1.008379535,0.778823865,-0.010322608,0.47443313,-0.156743423,-0.052240142,-0.537979032,-0.715374347,-0.59554004,0.468943136
Q99807,0.265383862,0.10718241,0.334657664,1.24886324,0.254523045,1.175770853,-0.554400761,0.155871033,-0.321536047,-0.677882612,0.355732521,-0.333804115,-0.627959947,-0.10718241,-0.43181239,-0.301816411,-0.760048691,0.181642352
Q5SPY9,0.524665994,0.48398005,0.728891231,0.019151146,0.483307696,0.403995665,-0.291673228,-0.002423839,-1.049223316,-0.360483095,0.002423839,0.278339838,1.256948699,-0.059678904,-0.715083255,-0.591792299,-0.252691552,-0.501958212
Q6ZV73,-0.442183044,-0.36483804,0.156923194,0.04416706,-0.127913153,-0.09194606,0.646185645,1.411561914,0.094487652,0.068385805,0.263612801,0.355230362,-0.49599518,-0.471162214,-1.141413993,-0.04416706,0.634767564,-0.221858102
A0A024QZB8,0.565758477,0.149822297,0.504752481,0.171920851,0.466887704,0.457083966,-1.187286345,-0.041874082,-1.081608097,-0.666436223,0.742986541,-0.250887147,1.137727017,0.041874082,-0.700904127,-0.154227916,-0.530359227,-0.379268497
Q8IUW5,-0.34827339,0.457691665,0.077975868,-0.223761485,0.056459833,-0.644351646,-0.774219328,-0.027541502,-0.362765325,0.027541502,0.409814328,-0.204094856,0.11103358,-0.035426828,-0.150966741,0.185874376,0.225873631,0.283524412
Q99741,-0.249851889,0.259747759,-0.226443019,0.891938688,0.256017047,1.818023342,-0.162348263,-0.062302769,-0.397057243,0.316253071,-0.6346095,0.17217331,-0.0668219,-0.205901326,-0.070386403,0.062302769,0.577353411,0.403239368
Q9Y6K0,-0.231863526,0.218458337,0.050736844,0.003406449,-0.22259923,-0.020503473,0.550228037,0.052238239,-0.13200027,0.872209494,0.875603558,0.887213471,-0.003406449,-0.115572811,-0.518994128,-0.220706637,0.023985118,-0.678521156
Q9UBI9,0.17941874,-0.214595882,-0.36338918,0.044160056,-0.40296874,0.463362159,-0.56431988,-0.031854261,0.314520063,0.096222858,0.132940576,0.611373512,0.031854261,0.173519201,-0.516065195,-0.14824981,-0.700509361,-0.716100593
O14593,0.328527096,0.244733461,-0.078229361,-0.182698257,-0.100030823,-0.10856556,0.057382157,-0.283903071,-0.512763115,0.07603471,0.209193048,-0.057382157,0.318559714,0.475437123,-0.076499525,0.407562206,-0.217121833,0.224073988
P57071,0.648292993,0.266958008,-0.073067102,0.327815988,0.687724895,0.567544924,-0.076789793,0.967600644,-1.94E-05,-0.168492137,-0.278754473,-0.07703409,-0.269313081,1.94E-05,-0.287791742,0.267368016,-0.482865984,0.064406273
O00399,0.13175789,0.272875285,0.314751625,-0.476454538,0.093546457,-0.167014128,-0.329187314,-0.109994109,-0.173434291,-0.218717855,-0.365632667,-0.058303712,0.161433646,0.061819812,-0.012201867,0.29150069,0.226080346,0.012201867
O95402,0.056446217,-0.479491781,-0.374990074,-0.44621754,0.141944661,-0.029552885,-0.185061279,0.328953955,-0.18323491,0.029631791,0.029552885,0.262918395,0.066204163,-0.049961782,-0.091938195,-0.13090504,0.029843905,0.773465529
Q86Y13,-0.023936154,0.883525255,-0.506624749,-0.949756384,-0.260510481,-1.373489236,-0.456526354,0.115053165,-0.544992728,1.202338189,0.023936154,0.035055103,-0.114439998,0.461062576,0.924146846,0.840125559,-0.188653231,0.520648562
Q7Z7K0,0.302816254,0.416700955,0.11372611,0.275147795,0.443663453,0.651837109,-0.269627291,0.025849986,0.15162711,-0.266212914,-0.532145714,-0.025849986,-0.075436288,0.161907726,-0.696356629,-1.186071845,-0.293614329,-0.123962271
Q9UBP9,0.090956839,-0.487829952,0.268316866,-0.817755467,-0.168826315,-0.240480466,-0.700094134,0.802832051,0.615891293,0.153350556,-0.488817749,-0.951236583,0.438442808,-0.435374623,1.033768155,1.542040769,0.213855277,-0.090956839
F8VX10,0.063485776,0.262282732,0.16681609,-0.148875124,0.479525451,-0.184062062,-0.040087131,0.110143617,0.219878577,-0.133738267,0.038312681,-0.083605503,-0.038312681,0.049496652,-0.047171388,0.108179077,-0.244242471,-0.049887514
Q86V85,-0.478888095,0.028252298,-0.275268493,0.061328387,-1.379370743,0.069925819,-0.402362533,-0.028252298,-0.747076437,1.337661924,0.119811707,0.90423109,0.954259627,-0.26178216,-0.192718033,0.405434417,-0.84596037,0.154855615
P78413-2,0.56541193,NA,NA,NA,2.502097128,0.030516427,-0.498507903,2.097706873,NA,NA,NA,-0.355732649,-0.121486667,NA,NA,0,-0.678757434,NA
Q8NF99,0.285706769,-0.119206271,0.383325288,-0.859182499,0.563560772,-0.182844557,-0.37522025,-0.021148461,0.026884018,0.139309825,0.021148461,-0.350165949,-0.030602512,0.39639357,0.169020226,-0.024575126,-0.27227239,0.310508078
Q4LDG9,0.192827989,0.666060959,0.098872913,-0.247166713,-0.213564073,-0.551822643,-0.144420105,0.220405965,-0.257925119,-0.201385872,-0.098872913,-0.729857582,0.733966294,-0.370663295,0.24181679,0.794608211,0.301489249,0.132749437
Q9Y2A9,0.299870223,-0.228526447,0.093784442,1.408395156,-0.3060293,0.839974917,0.671889175,0.939877573,-0.291997472,1.07267001,0.771618835,2.351069474,-0.489330254,-0.749586973,-0.526043091,-0.093784442,-0.228032747,-0.340275938
Q14159,0.343309394,0.422723595,0.518512075,-0.119900514,-0.015144577,-0.167015244,0.015144577,0.143903432,0.235883604,0.078844272,0.032381947,-0.052619282,-0.021886154,-0.428555079,-0.08492969,-0.034929192,-0.236416458,0.220989133
Q9H813,-0.399029636,0.369717393,0.02157624,-0.117434467,-0.01198051,-0.008409164,0.014281578,1.222002169,-0.095926594,-0.232775804,0.008409164,0.208121024,0.091636316,-0.746989203,-0.538898235,0.066448584,-0.024351094,0.853811704
Q8WW01,-0.285349862,0.214631447,0.037378417,-0.062317422,-0.236782547,0.005605069,-0.005605069,-1.051866378,-0.108907115,0.42633565,0.058751115,-0.201903404,-0.12664925,0.401547637,0.105176199,-0.649668632,0.199965512,0.4021934
Q3SY56,-0.055195833,0.072546329,1.225138305,0.654872746,-0.830135238,1.061923048,-0.054974917,1.159806172,0.054974917,1.581821694,0.597042304,1.521962577,-1.069475913,-0.260942451,-0.146586656,-0.356916747,-0.605528394,-0.440724473
Q13873,-0.031361399,-0.021060437,0.021060437,-0.077451531,0.131893581,-0.181716363,0.738261858,-0.270306247,-0.601253993,-0.178906176,0.036696526,0.48550127,1.360836946,-0.264940719,0.027341372,0.609802636,0.344834185,-0.343901856
Q02318,0.067563584,0.469958507,-0.085175177,-0.260643806,-0.097796793,-0.302921793,0.083770605,0.201166062,-0.22356818,1.575135551,-0.076521866,3.752670473,-0.06352516,-0.07154573,0.06352516,1.28118418,0.61173134,-0.33446714
A0A024RCG2,0.541166991,0.015305718,0.575535782,2.011574256,-0.111734135,1.169980531,0.010860945,-0.109847104,-0.991038866,-0.030395611,-0.010860945,0.566053725,-0.961141967,0.098073936,-0.894327454,0.888994359,-0.6658717,-0.557640957
